Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2015,EACH,Literatura e o Meio Ambiente na Educação Fundamental,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,LUDOTECA DA CIÊNCIA NA EACH,Cultura e Extensão,Luis Paulo de Carvalho Piassi,2
2015,EACH,"Magnetismo, Ferrofluidos e Corpos Celestes",Pesquisa,Alberto Tufaile,1
2015,EACH,"Maneiras de viver, maneiras de nascer: um estudo sobre antropologia do nascimento para a formação de alunos do Curso de Obstetrícia da EACH/USP",Ensino,Edemilson Antunes de Campos,2
2015,EACH,Manual de Utilização do Plano de Atenção Gerontológica (PAGe),Ensino,Ruth Caldeira de Melo,3
2015,EACH,Mapeamento da trajetória da gestante à Unidade Básica de Saúde,Cultura e Extensão,Eunice Almeida da Silva,3
2015,EACH,Monitoramento da elaboração dos Trabalhos de Conclusão de Curso (TCC): a construção de instrumentos de gestão e a consolidação da produção acumulada.,Ensino,Agnaldo Valentin,2
2015,EACH,Novas Arquiteturas Pedagógicas com Design Thinking: difusão para educadores culturais que atuam nas Fábricas de Cultura da Zona Leste de São Paulo.,Cultura e Extensão,Maria Luisa Trindade Bestetti,5
2015,EACH,O cuidado à mulher no pré-natal e puerpério,Ensino,Patrícia Wottrich Parenti,1
2015,EACH,O idoso no humor em quadrinhos: representações e sentidos.,Pesquisa,Andrea Viude Castanho,3
2015,EACH,O jeitinho brasileiro: a criatividade como traço da identidade nacional brasileira,Pesquisa,Lisete Barlach,3
2015,EACH,O leitor e o livro: os conhecimentos do marketing no incentivo à literatura,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,O papel da comunidade do software livre na formulação da agenda política e propostas de inclusão digital,Pesquisa,Jorge Alberto Silva Machado Villanueva,1
2015,EACH,O tema da ética animal nos anos iniciais da escolarização: uma investigação participante empregando filmes de animação.,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,Oficina de Turismo Social - Viver São Paulo (UnATI/EACH),Cultura e Extensão,Marcelo Vilela de Almeida,2
2015,EACH,Oficina: Reaproveitamento de Resíduos com Arte,Cultura e Extensão,Renata Colombo,2
2015,EACH,"Organização e informatização do Herbário SPFE da Escola de Artes, Ciências e Humanidades - EACH/USP",Cultura e Extensão,Silvana Aparecida Pires de Godoy,2
2015,EACH,Os estilistas brasileiros da atualidade e suas principais criações e participações na moda nacional.,Ensino,Francisca Dantas Mendes,2
2015,EACH,PAPÉIS DE GÊNERO NA SÉRIE DE TV TEEN  90210,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,PAPÉIS DE GÊNERO NA SÉRIE DE TV TEEN  ONE TREE HILL,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,PAPÉIS DE GÊNERO NA SÉRIE DE TV TEEN  SKINS,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,PAPÉIS DE GÊNERO NA SÉRIE DE TV TEEN  THE O.C.,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,PAPÉIS DE GÊNERO NA SÉRIE DE TV TEEN  VERONICA MARS,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,Percepção da dor e do esforço exercido durante o processo do nascimento,Pesquisa,Celia Regina Maganha e Melo,2
2015,EACH,Perfil sócio- demográfico das gestantes que se deslocam a pé à Unidade Básica de Saúde para realizar o pré-natal,Pesquisa,Eunice Almeida da Silva,3
2015,EACH,"PLANEJAMENTO AMBIENTAL NA REGIÃO DA SERRA DOS ITATINS, ARREDORES DO MUNICÍPIO DE PERUÍBE: AVALIAÇÃO DOS RECURSOS NATURAIS COM FOCO NO ECOTURISMO",Pesquisa,Victor Velazquez Fernandez,1
2015,EACH,Políticas de dados abertos na administração pública,Ensino,Jorge Alberto Silva Machado Villanueva,2
2015,EACH,"POLÍTICAS PÚBLICAS NA EDUCAÇÃO FUNDAMENTAL DOS MUNICÍPIOS BRASILEIROS: RECEITAS, DESPESAS E IDEB NA PERSPECTIVA DO ESTADO EFICIENTE",Pesquisa,Jaime Crozatti,3
2015,EACH,Práticas Integrativas e Complementares no Sistema Único de Saúde na Zona Leste de São Paulo,Pesquisa,Douglas Roque Andrade,3
2015,EACH,Processo Orçamentário: Análise Comparativa dos Municípios de São Paulo e Porto Alegre no período de 2009 a 2015,Pesquisa,Ursula Dias Peres,3
2015,EACH,Programa EducAtivo,Cultura e Extensão,Douglas Roque Andrade,2
2015,EACH,Programação para crianças.,Cultura e Extensão,Luciane Meneguin Ortega Vidal,2
2015,EACH,Projeto Centro de línguas da EACH - Monitoria para cursos de idiomas,Cultura e Extensão,Neli Aparecida de Mello Théry,5
2015,EACH,Projeto Prefeitos Paulistas da EACH-USP - segunda edição,Cultura e Extensão,Fernando de Souza Coelho,2
2015,EACH,Projeto Senior English,Cultura e Extensão,Meire Cachioni,1
2015,EACH,PROJETO TEATRO: O QUE ESTA OFICINA PODE TRAZER DE BENEFÍCIOS PARA O IDOSO ATOR?,Cultura e Extensão,Rosa Yuka Sato Chubaci,1
2015,EACH,Promoção de Saúde Emocional na velhice: capacitação teórico-prática na formação do Gerontólogo,Cultura e Extensão,Samila Sathler Tavares Batistoni,3
2015,EACH,Proposta de instruções para tomadas de medidas pessoais,Pesquisa,Isabel Cristina Italiano,2
2015,EACH,PROTEÇÃO CONTRA RADIAÇÃO ULTRAVIOLETA POR RECURSO FÍSICO INDIVIDUAL: REVISÃO DE LITERATURA,Pesquisa,Maristela Belletti Mutt Urasaki,1
2015,EACH,Relações da classificação no exame vestibular com o rendimento acadêmico dos estudantes nos cursos da Universidade de São Paulo,Pesquisa,Humberto Miguel Garay Malpartida,2
2015,EACH,RELAÇÕES DE GÊNERO NOS QUADRINHOS DE SUPER-HERÓIS: A MULHER-MARAVILHA E A CIÊNCIA NO ENSINO FUNDAMENTAL II,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,Relações gênero nos livros infantis: problematizando os papéis sociais atribuídos às personagens femininas,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,Representação de moldes de vestuário em planos cartesianos,Pesquisa,Isabel Cristina Italiano,2
2015,EACH,REPRESENTAÇÃO DOS ANIMAIS NA LITERATURA INFANTIL: POSSIBILIDADES NA EDUCAÇÃO EM CIÊNCIA,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,ROCK NA INVESTIGAÇÃO DA TECNOCIÊNCIA PARA ADOLESCENTES,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,Seleção de regiões de interesse em objetos 3D usando gestos para aplicação em sistemas de recuperação de modelos com base em conteúdo,Pesquisa,Fátima de Lourdes dos Santos Nunes Marques,1
2015,EACH,"TENDÊNCIAS DA PESQUISA EM MARKETING NO BRASIL: UM ESTUDO LONGITUDINAL DAS PRINCIPAIS PUBLICAÇÕES E ENCONTROS DE PROPAGANDA, COMUNICAÇÃO E MARKETING",Pesquisa,Otávio Bandeira de Lamônica Freire,3
2015,EACH,TÍTULO DO PROJETO: MATERIALISMO E QUATRO TIPOS DE INSEGURANÇA PSICOLÓGICA,Pesquisa,Claudia Rosa Acevedo,3
2015,EACH,"Tour virtual pela Cratera de Colônia: conhecer, valorizar e promover a preservação de um verdadeiro monumento geológico",Cultura e Extensão,Victor Velazquez Fernandez,1
2015,EACH,Transparência na Gestão dos Recursos Hídricos: acompanhando o indicador INTRAG no contexto brasileiro,Pesquisa,Ana Paula Fracalanza,3
2015,EACH,Um método analítico para o estudo de ondas gravitacionais,Pesquisa,Carlos Molina Mendes,2
2015,EACH,Um passeio pelo mundo dos números,Pesquisa,Rosana Retsos Signorelli Vargas,1
2015,ECA,A Mediação Tecnológica como estratégia educomunicativa nos projetos do Núcleo de Comunicação e Educação da Escola de Comunicações e Artes da USP,Pesquisa,Marciel Aparecido Consani,4
2015,ECA,"Desenvolvimento Regional do Turismo no Vale Histórico, porção paulista do Vale do Paraíba: construção de uma proposta metodológica",Pesquisa,Karina Toledo Solha,3
2015,ECA,História do Presente do curso de Turismo da ECA/USP: registro e difusão de conhecimentos e práticas,Cultura e Extensão,Karina Toledo Solha,3
2015,ECA,A censura às artes com base em mídias digitais,Pesquisa,Maria Cristina Castilho Costa,2
2015,ECA,"A comunicação para sustentabilidade e as conexões entre o Estado, as organizações privadas e a sociedade civil: diálogo, parcerias  e governança.",Pesquisa,Margarida Maria Krohling Kunsch,3
2015,ECA,Análise e Criação de materiais de apoio pedagógico especialmente criados para exposições (versões impressas ),Ensino,Maria Christina de Souza Lima Rizzi,2
2015,ECA,Arte e Crítica: construindo a informação on line,Cultura e Extensão,Lisbeth Ruth Rebollo Goncalves,3
2015,ECA,Arte e Mídias Independentes.,Pesquisa,Silvia Regina Ferreira de Laurentiz,2
2015,ECA,"Arte, olho e mente - Apontamentos da neuroestética para compreensão visual",Pesquisa,Silvia Regina Ferreira de Laurentiz,2
2015,ECA,As agências de viagens corporativas do Brasil e suas parcerias comerciais,Pesquisa,Debora Cordeiro Braga,2
